"license_year","hunting_district","deer_species","hunters","total_harvest","bucks","does","bow","rifle","x4_or_more_points","success_rate_per_hunter"
2004,"150","wt",270,19,15,4,0,19,15,NA
2004,"151","all_deer",91,11,11,0,0,11,11,0.120879120879121
2004,"151","md",91,11,11,0,0,11,11,NA
2004,"170","all_deer",866,639,283,349,63,575,187,0.737875288683603
2004,"170","md",866,17,14,3,0,17,4,NA
2004,"170","wt",866,616,267,342,61,556,181,NA
2004,"200","all_deer",855,305,212,89,25,280,110,0.35672514619883
2004,"200","md",855,43,41,1,2,41,18,NA
2004,"200","wt",855,259,167,88,23,235,87,NA
2004,"201","all_deer",2116,878,582,290,77,801,353,0.414933837429112
2004,"201","md",2116,131,128,3,4,127,69,NA
2004,"201","wt",2116,745,454,286,73,672,284,NA
2004,"202","all_deer",1837,689,474,206,15,675,316,0.375068045726728
2004,"202","md",1837,117,109,8,0,117,86,NA
2004,"202","wt",1837,573,365,199,15,558,229,NA
2004,"203","all_deer",1481,455,388,64,21,434,242,0.307224848075625
2004,"203","md",1481,122,118,0,4,118,74,NA
2004,"203","wt",1481,333,269,64,17,316,168,NA
2004,"204","all_deer",1745,552,426,124,32,520,219,0.316332378223496
2004,"204","md",1745,146,143,4,5,141,69,NA
2004,"204","wt",1745,399,276,121,27,372,146,NA
2004,"210","all_deer",904,216,151,59,6,210,92,0.238938053097345
2004,"210","md",904,68,67,1,5,64,41,NA
2004,"210","wt",904,147,84,58,2,146,51,NA
2004,"211","all_deer",284,54,54,0,2,52,20,0.190140845070423
2004,"211","md",284,44,44,0,0,44,20,NA
2004,"211","wt",284,10,10,0,2,8,0,NA
2004,"212","all_deer",1312,404,318,84,29,375,148,0.307926829268293
2004,"212","md",1312,263,230,33,17,246,103,NA
2004,"212","wt",1312,141,88,52,12,129,45,NA
2004,"213","all_deer",414,69,55,10,5,64,26,0.166666666666667
2004,"213","md",414,51,51,0,0,51,23,NA
2004,"213","wt",414,18,5,10,5,13,3,NA
2004,"214","all_deer",420,89,85,4,4,85,39,0.211904761904762
2004,"214","md",420,62,62,0,0,62,23,NA
2004,"214","wt",420,27,23,4,4,23,15,NA
2004,"215","all_deer",958,321,296,21,23,298,117,0.335073068893528
2004,"215","md",958,209,201,5,19,191,80,NA
2004,"215","wt",958,111,95,14,4,106,37,NA
2004,"216","all_deer",435,105,92,14,0,105,51,0.241379310344828
2004,"216","md",435,59,59,0,0,59,35,NA
2004,"216","wt",435,46,33,14,0,46,16,NA
2004,"240","all_deer",2179,936,636,281,127,809,330,0.429554841670491
2004,"240","md",2179,138,137,2,3,135,62,NA
2004,"240","wt",2179,795,499,277,121,674,267,NA
2004,"250","all_deer",1387,496,396,100,91,405,188,0.357606344628695
2004,"250","md",1387,272,265,7,50,222,123,NA
2004,"250","wt",1387,222,129,93,41,181,64,NA
2004,"260","all_deer",1103,1070,220,821,856,214,149,0.970081595648232
2004,"260","md",1103,2,2,0,0,2,0,NA
2004,"260","wt",1103,1065,217,821,853,212,148,NA
2004,"261","all_deer",772,306,172,129,18,288,99,0.396373056994819
2004,"261","md",772,73,27,46,0,73,22,NA
2004,"261","wt",772,233,145,84,18,215,77,NA
2004,"270","all_deer",2054,656,268,368,42,614,172,0.31937682570594
2004,"270","md",2054,365,81,275,33,332,74,NA
2004,"270","wt",2054,291,188,93,9,282,98,NA
2004,"280","all_deer",245,79,72,7,5,74,52,0.322448979591837
2004,"280","md",245,43,43,0,0,43,28,NA
2004,"280","wt",245,32,26,7,5,27,20,NA
2004,"281","all_deer",1270,459,407,43,22,438,290,0.361417322834646
2004,"281","md",1270,127,119,4,8,119,75,NA
2004,"281","wt",1270,326,281,39,14,312,211,NA
2004,"282","all_deer",277,125,93,32,7,118,59,0.451263537906137
2004,"282","md",277,43,38,5,1,42,16,NA
2004,"282","wt",277,82,55,27,6,76,44,NA
2004,"283","all_deer",1720,486,413,73,23,464,253,0.282558139534884
2004,"283","md",1720,132,131,2,0,132,60,NA
2004,"283","wt",1720,354,282,72,23,331,194,NA
2004,"284","all_deer",186,86,62,24,46,40,42,0.462365591397849
2004,"284","md",186,23,23,0,1,22,11,NA
2004,"284","wt",186,61,38,23,45,16,32,NA
2004,"285","all_deer",2927,1374,958,391,80,1295,542,0.469422617014008
2004,"285","md",2927,154,139,15,12,143,86,NA
2004,"285","wt",2927,1217,819,373,68,1149,455,NA
2004,"290","all_deer",221,114,58,56,55,59,43,0.515837104072398
2004,"290","md",221,8,8,0,3,6,7,NA
2004,"290","wt",221,101,49,52,52,50,36,NA
2004,"291","all_deer",509,203,166,37,3,200,107,0.398821218074656
2004,"291","md",509,170,137,34,3,168,91,NA
2004,"291","wt",509,33,30,3,0,33,16,NA
2004,"292","all_deer",1911,697,626,65,13,684,305,0.36473050758765
2004,"292","md",1911,320,318,2,2,317,134,NA
2004,"292","wt",1911,377,308,62,10,367,170,NA
2004,"293","all_deer",1028,334,306,27,7,327,177,0.324902723735409
2004,"293","md",1028,182,182,0,4,178,90,NA
2004,"293","wt",1028,153,125,27,3,149,88,NA
2004,"300","all_deer",299,99,46,47,4,95,31,0.331103678929766
2004,"300","md",299,70,39,29,4,66,25,NA
2004,"300","wt",299,24,7,15,0,24,6,NA
2004,"301","all_deer",1052,472,291,176,43,430,179,0.448669201520913
2004,"301","md",1052,135,112,23,16,120,47,NA
2004,"301","wt",1052,337,179,153,27,310,132,NA
2004,"302","all_deer",510,184,111,73,4,180,51,0.36078431372549
2004,"302","md",510,158,96,62,4,155,39,NA
2004,"302","wt",510,23,14,9,0,23,12,NA
2004,"310","all_deer",284,52,36,16,9,43,33,0.183098591549296
2004,"310","md",284,44,34,10,7,37,31,NA
2004,"310","wt",284,8,2,6,2,6,2,NA
2004,"311","all_deer",1902,1283,690,569,87,1197,402,0.674553101997897
2004,"311","md",1902,494,322,166,10,484,145,NA
2004,"311","wt",1902,788,368,401,77,711,257,NA
2004,"312","all_deer",1591,1038,555,465,76,961,365,0.652419861722187
2004,"312","md",1591,296,192,100,11,285,106,NA
2004,"312","wt",1591,739,359,365,66,673,256,NA
2004,"313","all_deer",553,300,229,71,2,299,101,0.54249547920434
2004,"313","md",553,270,211,58,0,270,92,NA
2004,"313","wt",553,29,16,13,2,27,9,NA
2004,"314","all_deer",1450,763,530,222,21,742,323,0.526206896551724
2004,"314","md",1450,529,424,103,12,517,254,NA
2004,"314","wt",1450,234,106,119,9,225,69,NA
2004,"315","all_deer",2117,1585,816,744,68,1517,469,0.748700991969769
2004,"315","md",2117,804,497,302,14,791,249,NA
2004,"315","wt",2117,776,319,437,54,722,220,NA
2004,"316","all_deer",152,27,27,0,0,27,18,0.177631578947368
2004,"316","md",152,27,27,0,0,27,18,NA
2004,"317","all_deer",855,587,398,187,37,551,272,0.686549707602339
2004,"317","md",855,227,206,21,5,222,118,NA
2004,"317","wt",855,357,189,166,31,326,150,NA
2004,"318","all_deer",464,180,153,27,10,169,72,0.387931034482759
2004,"318","md",464,167,142,25,10,157,69,NA
2004,"318","wt",464,11,10,2,0,11,4,NA
2004,"319","all_deer",738,202,103,98,12,190,35,0.273712737127371
2004,"319","md",738,175,96,78,12,163,31,NA
2004,"319","wt",738,27,7,19,0,27,4,NA
2004,"320","all_deer",1438,940,494,425,24,917,339,0.653685674547983
2004,"320","md",1438,257,147,111,7,250,68,NA
2004,"320","wt",1438,678,345,312,16,662,270,NA
2004,"321","all_deer",638,98,63,33,26,72,26,0.153605015673981
2004,"321","md",638,67,50,15,22,45,19,NA
2004,"321","wt",638,28,13,14,0,28,7,NA
2004,"322","all_deer",1257,1164,368,763,56,1108,245,0.926014319809069
2004,"322","md",1257,144,76,64,7,137,27,NA
2004,"322","wt",1257,1010,291,690,49,961,216,NA
2004,"323","all_deer",431,100,54,44,12,88,22,0.232018561484919
2004,"323","md",431,73,40,34,8,65,10,NA
2004,"323","wt",431,22,14,6,0,22,13,NA
2004,"324","all_deer",636,177,102,72,5,172,74,0.278301886792453
2004,"324","md",636,71,49,23,2,70,27,NA
2004,"324","wt",636,105,52,49,4,101,46,NA
2004,"325","all_deer",1259,820,440,373,19,800,198,0.651310563939635
2004,"325","md",1259,594,340,251,9,585,121,NA
2004,"325","wt",1259,219,97,118,10,208,76,NA
2004,"326","all_deer",1045,674,326,334,3,671,146,0.644976076555024
2004,"326","md",1045,487,248,234,3,484,92,NA
2004,"326","wt",1045,175,71,96,0,175,47,NA
2004,"327","all_deer",474,61,53,4,0,61,43,0.128691983122363
2004,"327","md",474,42,42,0,0,42,33,NA
2004,"327","wt",474,14,9,4,0,14,9,NA
2004,"328","all_deer",398,58,45,11,7,50,22,0.14572864321608
2004,"328","md",398,45,35,10,4,41,12,NA
2004,"328","wt",398,9,6,1,0,9,6,NA
2004,"329","all_deer",967,185,124,61,14,171,40,0.191313340227508
2004,"329","md",967,124,94,30,11,113,24,NA
2004,"329","wt",967,61,30,31,3,58,16,NA
2004,"330","all_deer",1035,554,296,244,14,540,169,0.535265700483092
2004,"330","md",1035,246,154,86,5,241,55,NA
2004,"330","wt",1035,298,133,157,10,288,111,NA
2004,"331","all_deer",1658,581,372,190,15,566,118,0.350422195416164
2004,"331","md",1658,384,290,89,9,375,72,NA
2004,"331","wt",1658,194,82,101,6,188,47,NA
2004,"332","all_deer",613,99,75,23,9,90,19,0.161500815660685
2004,"332","md",613,72,60,12,9,63,9,NA
2004,"332","wt",613,27,15,11,0,27,10,NA
2004,"333","all_deer",1788,1333,552,758,40,1293,379,0.745525727069351
2004,"333","md",1788,496,200,288,16,480,111,NA
2004,"333","wt",1788,835,352,468,24,811,268,NA
2004,"335","all_deer",561,294,210,84,15,279,108,0.524064171122995
2004,"335","md",561,264,188,76,15,249,98,NA
2004,"335","wt",561,30,22,8,0,30,11,NA
2004,"339","all_deer",551,336,219,117,13,323,102,0.609800362976406
2004,"339","md",551,231,164,67,9,222,76,NA
2004,"339","wt",551,104,56,48,4,99,27,NA
2004,"340","all_deer",1578,880,469,397,56,825,286,0.55766793409379
2004,"340","md",1578,300,202,95,12,288,80,NA
2004,"340","wt",1578,581,267,302,44,537,206,NA
2004,"341","all_deer",534,138,91,44,0,138,41,0.258426966292135
2004,"341","md",534,100,67,33,0,100,21,NA
2004,"341","wt",534,38,24,11,0,38,20,NA
2004,"343","all_deer",827,352,260,92,11,341,127,0.425634824667473
2004,"343","md",827,283,220,63,3,280,108,NA
2004,"343","wt",827,68,40,29,7,61,20,NA
2004,"350","all_deer",531,157,98,56,0,157,52,0.295668549905838
2004,"350","md",531,119,79,39,0,119,39,NA
2004,"350","wt",531,38,19,18,0,38,13,NA
2004,"360","all_deer",951,583,306,259,38,546,148,0.613038906414301
2004,"360","md",951,218,190,22,7,211,82,NA
2004,"360","wt",951,360,110,237,31,330,66,NA
2004,"361","all_deer",139,36,30,6,3,33,18,0.258992805755396
2004,"361","md",139,23,21,2,2,21,14,NA
2004,"361","wt",139,14,9,5,2,12,4,NA
2004,"362","all_deer",287,55,35,20,2,53,13,0.191637630662021
2004,"362","md",287,46,29,17,2,44,9,NA
2004,"362","wt",287,9,6,3,0,9,4,NA
2004,"370","all_deer",327,97,53,43,0,97,16,0.296636085626911
2004,"370","md",327,50,36,14,0,50,6,NA
2004,"370","wt",327,45,16,29,0,45,11,NA
2004,"380","all_deer",1929,1068,713,344,18,1050,363,0.553654743390358
2004,"380","md",1929,674,499,174,3,671,223,NA
2004,"380","wt",1929,394,214,170,15,379,140,NA
2004,"390","all_deer",274,133,84,49,2,132,42,0.485401459854015
2004,"390","md",274,74,61,13,2,73,26,NA
2004,"390","wt",274,59,23,36,0,59,15,NA
2004,"391","all_deer",744,366,285,78,15,352,167,0.491935483870968
2004,"391","md",744,231,194,36,12,218,105,NA
2004,"391","wt",744,132,89,41,2,130,60,NA
2004,"392","all_deer",1062,483,396,85,7,475,219,0.454802259887006
2004,"392","md",1062,396,341,53,7,388,174,NA
2004,"392","wt",1062,87,55,32,0,87,46,NA
2004,"393","all_deer",1544,740,540,186,46,694,301,0.479274611398964
2004,"393","md",1544,551,441,102,27,524,225,NA
2004,"393","wt",1544,187,99,82,19,168,76,NA
2004,"400","all_deer",1472,1300,724,565,21,1279,421,0.883152173913043
2004,"400","md",1472,1034,591,432,12,1022,323,NA
2004,"400","wt",1472,264,133,131,9,255,98,NA
2004,"401","all_deer",1450,1115,677,428,14,1101,429,0.768965517241379
2004,"401","md",1450,797,520,276,8,790,320,NA
2004,"401","wt",1450,317,156,152,7,310,107,NA
2004,"403","all_deer",172,124,80,42,0,124,51,0.720930232558139
2004,"403","md",172,83,60,20,0,83,37,NA
2004,"403","wt",172,39,17,22,0,39,12,NA
2004,"404","all_deer",2678,2106,1136,923,107,1999,673,0.786407766990291
2004,"404","md",2678,1117,644,457,34,1083,345,NA
2004,"404","wt",2678,986,492,464,73,913,329,NA
2004,"405","all_deer",971,761,420,331,0,761,231,0.783728115345005
2004,"405","md",971,665,363,295,0,665,197,NA
2004,"405","wt",971,95,58,34,0,95,35,NA
2004,"406","all_deer",745,592,316,269,7,585,181,0.794630872483222
2004,"406","md",745,414,214,194,1,413,109,NA
2004,"406","wt",745,175,103,72,5,170,73,NA
2004,"410","all_deer",1731,775,670,100,12,762,436,0.447718082033507
2004,"410","md",1731,641,594,46,4,637,374,NA
2004,"410","wt",1731,132,73,54,8,124,60,NA
2004,"411","all_deer",3016,2728,1579,1106,103,2626,1125,0.904509283819629
2004,"411","md",3016,1274,810,454,12,1262,504,NA
2004,"411","wt",3016,1445,765,647,90,1355,619,NA
2004,"412","all_deer",1958,1871,1070,774,50,1820,745,0.955566905005107
2004,"412","md",1958,1164,722,433,32,1131,443,NA
2004,"412","wt",1958,700,345,336,18,682,302,NA
2004,"413","all_deer",2137,1528,892,612,52,1476,556,0.715021057557323
2004,"413","md",2137,1066,672,378,21,1045,400,NA
2004,"413","wt",2137,459,220,231,32,427,156,NA
2004,"415","all_deer",111,22,22,0,4,19,14,0.198198198198198
2004,"415","md",111,12,12,0,4,9,9,NA
2004,"415","wt",111,10,10,0,0,10,6,NA
2004,"416","all_deer",992,379,266,112,11,368,145,0.382056451612903
2004,"416","md",992,256,196,59,11,245,97,NA
2004,"416","wt",992,123,69,53,0,123,48,NA
2004,"417","all_deer",959,628,446,171,3,625,319,0.654848800834202
2004,"417","md",959,550,411,134,3,547,293,NA
2004,"417","wt",959,68,33,33,0,68,27,NA
2004,"418","all_deer",731,538,271,254,8,531,164,0.735978112175103
2004,"418","md",731,285,172,107,4,281,88,NA
2004,"418","wt",731,252,100,147,4,248,76,NA
2004,"419","all_deer",510,399,239,156,5,394,159,0.782352941176471
2004,"419","md",510,286,182,102,3,283,110,NA
2004,"419","wt",510,112,56,54,1,110,49,NA
2004,"420","all_deer",144,53,31,22,0,53,13,0.368055555555556
2004,"420","md",144,30,20,11,0,30,6,NA
2004,"420","wt",144,23,11,12,0,23,7,NA
2004,"421","all_deer",605,438,263,175,7,431,122,0.72396694214876
2004,"421","md",605,334,206,128,5,329,96,NA
2004,"421","wt",605,104,57,47,3,102,26,NA
2004,"422","all_deer",569,356,321,35,0,356,256,0.625659050966608
2004,"422","md",569,263,252,11,0,263,202,NA
2004,"422","wt",569,93,69,23,0,93,54,NA
2004,"423","all_deer",389,241,206,33,4,237,152,0.619537275064267
2004,"423","md",389,184,165,18,4,180,122,NA
2004,"423","wt",389,57,42,16,0,57,30,NA
2004,"424","all_deer",357,200,167,33,6,194,130,0.560224089635854
2004,"424","md",357,101,101,0,0,101,72,NA
2004,"424","wt",357,99,66,33,6,93,58,NA
2004,"425","all_deer",312,154,134,20,4,150,86,0.493589743589744
2004,"425","md",312,114,103,11,0,114,60,NA
2004,"425","wt",312,40,32,8,4,36,27,NA
2004,"426","all_deer",1169,960,568,383,9,950,359,0.821214713430282
2004,"426","md",1169,821,479,334,9,812,296,NA
2004,"426","wt",1169,132,88,44,0,132,62,NA
2004,"432","all_deer",1033,597,414,177,15,582,229,0.577928363988383
2004,"432","md",1033,477,356,122,13,464,181,NA
2004,"432","wt",1033,120,59,56,3,117,48,NA
2004,"441","all_deer",638,396,249,143,5,391,183,0.620689655172414
2004,"441","md",638,240,175,64,5,235,138,NA
2004,"441","wt",638,156,74,79,0,156,44,NA
2004,"442","all_deer",710,318,285,31,8,310,230,0.447887323943662
2004,"442","md",710,192,179,13,5,187,126,NA
2004,"442","wt",710,123,102,19,3,119,100,NA
2004,"444","all_deer",619,531,282,233,12,520,207,0.8578352180937
2004,"444","md",619,314,163,145,0,314,110,NA
2004,"444","wt",619,217,119,88,12,206,97,NA
2004,"445","all_deer",1693,1406,799,585,39,1367,524,0.830478440637921
2004,"445","md",1693,816,478,334,9,807,291,NA
2004,"445","wt",1693,590,320,251,30,560,233,NA
2004,"446","all_deer",699,360,231,121,10,350,143,0.515021459227468
2004,"446","md",699,213,169,40,8,205,95,NA
2004,"446","wt",699,148,63,81,3,145,48,NA
2004,"447","all_deer",2068,1496,897,588,42,1455,607,0.723404255319149
2004,"447","md",2068,1102,664,432,24,1078,409,NA
2004,"447","wt",2068,389,229,155,18,371,194,NA
2004,"448","all_deer",616,228,162,65,4,224,87,0.37012987012987
2004,"448","md",616,170,127,43,4,166,77,NA
2004,"448","wt",616,55,32,23,0,55,10,NA
2004,"449","all_deer",631,388,284,100,4,385,144,0.614896988906498
2004,"449","md",631,274,231,37,0,274,111,NA
2004,"449","wt",631,111,49,63,4,108,30,NA
2004,"450","all_deer",433,340,160,176,28,312,107,0.785219399538106
2004,"450","md",433,177,83,94,12,165,54,NA
2004,"450","wt",433,163,78,82,15,148,54,NA
2004,"452","all_deer",265,124,101,15,3,120,66,0.467924528301887
2004,"452","md",265,73,69,4,3,69,42,NA
2004,"452","wt",265,48,32,11,0,48,24,NA
2004,"454","all_deer",556,189,142,45,4,186,82,0.339928057553957
2004,"454","md",556,150,126,23,4,147,70,NA
2004,"454","wt",556,39,16,22,0,39,12,NA
2004,"455","all_deer",81,63,51,12,5,58,37,0.777777777777778
2004,"455","md",81,42,38,4,1,40,26,NA
2004,"455","wt",81,21,13,8,4,18,11,NA
2004,"471","all_deer",728,589,372,213,7,581,236,0.809065934065934
2004,"471","md",728,518,341,176,6,513,217,NA
2004,"471","wt",728,67,30,33,2,65,19,NA
2004,"500","all_deer",1653,981,600,361,5,976,337,0.593466424682396
2004,"500","md",1653,775,485,278,1,773,255,NA
2004,"500","wt",1653,203,112,82,4,199,78,NA
2004,"502","all_deer",1986,1270,762,494,32,1238,406,0.639476334340383
2004,"502","md",1986,824,532,288,10,815,239,NA
2004,"502","wt",1986,446,230,206,23,423,167,NA
2004,"510","all_deer",429,279,181,92,3,275,110,0.65034965034965
2004,"510","md",429,231,156,73,3,227,97,NA
2004,"510","wt",429,45,23,19,0,45,11,NA
2004,"511","all_deer",775,583,309,257,29,554,178,0.752258064516129
2004,"511","md",775,370,218,143,5,364,108,NA
2004,"511","wt",775,210,92,111,24,186,70,NA
2004,"520","all_deer",2420,1728,1139,554,40,1688,660,0.714049586776859
2004,"520","md",2420,927,676,245,11,916,327,NA
2004,"520","wt",2420,801,463,309,28,772,334,NA
2004,"530","all_deer",1279,920,557,350,17,903,350,0.71931196247068
2004,"530","md",1279,638,375,253,10,628,235,NA
2004,"530","wt",1279,281,181,96,7,273,115,NA
2004,"540","all_deer",854,502,344,144,7,495,163,0.587822014051522
2004,"540","md",854,356,270,86,7,349,113,NA
2004,"540","wt",854,142,71,58,0,142,46,NA
2004,"560","all_deer",1278,1003,619,369,33,970,354,0.784820031298905
2004,"560","md",1278,621,414,204,28,593,215,NA
2004,"560","wt",1278,376,202,163,5,371,135,NA
2004,"570","all_deer",1822,1578,864,658,25,1552,510,0.866081229418222
2004,"570","md",1822,869,565,297,6,863,280,NA
2004,"570","wt",1822,705,299,359,19,685,231,NA
2004,"575","all_deer",3026,2400,1368,1011,63,2337,669,0.793126239259749
2004,"575","md",3026,1461,953,501,14,1447,407,NA
2004,"575","wt",3026,928,415,503,49,879,263,NA
2004,"580","all_deer",2011,1741,991,727,32,1710,742,0.865738438587767
2004,"580","md",2011,779,573,204,5,775,399,NA
2004,"580","wt",2011,950,410,517,27,923,339,NA
2004,"590","all_deer",3527,2218,1528,661,96,2122,927,0.628863056421888
2004,"590","md",3527,1442,1056,374,35,1407,587,NA
2004,"590","wt",3527,765,463,284,61,704,335,NA
2004,"600","all_deer",1280,909,573,317,14,895,370,0.71015625
2004,"600","md",1280,558,370,174,1,557,223,NA
2004,"600","wt",1280,351,204,144,13,338,147,NA
2004,"610","all_deer",781,507,381,114,2,504,270,0.649167733674776
2004,"610","md",781,373,298,68,0,373,203,NA
2004,"610","wt",781,134,83,46,2,132,67,NA
2004,"611","all_deer",722,452,375,61,2,450,310,0.626038781163435
2004,"611","md",722,284,254,28,0,284,197,NA
2004,"611","wt",722,163,119,30,2,161,113,NA
2004,"620","all_deer",1037,618,461,146,5,613,297,0.595949855351977
2004,"620","md",1037,485,385,92,5,480,241,NA
2004,"620","wt",1037,133,76,55,0,133,56,NA
2004,"621","all_deer",651,306,263,43,1,305,186,0.470046082949309
2004,"621","md",651,277,250,26,1,276,177,NA
2004,"621","wt",651,28,13,15,0,28,9,NA
2004,"622","all_deer",380,146,115,31,2,144,87,0.384210526315789
2004,"622","md",380,140,111,29,2,138,84,NA
2004,"622","wt",380,6,5,2,0,6,3,NA
2004,"630","all_deer",1616,1355,710,594,86,1269,543,0.838490099009901
2004,"630","md",1616,607,360,233,2,605,271,NA
2004,"630","wt",1616,749,350,362,85,664,272,NA
2004,"631","all_deer",256,130,106,25,7,123,71,0.5078125
2004,"631","md",256,122,106,17,5,117,71,NA
2004,"631","wt",256,8,0,8,2,7,0,NA
2004,"632","all_deer",314,149,139,11,2,147,104,0.474522292993631
2004,"632","md",314,144,133,11,0,144,98,NA
2004,"632","wt",314,2,2,0,2,0,2,NA
2004,"640","all_deer",1136,774,484,281,12,762,366,0.681338028169014
2004,"640","md",1136,345,275,70,1,344,199,NA
2004,"640","wt",1136,428,209,210,11,418,167,NA
2004,"641","all_deer",493,262,197,62,4,258,161,0.531440162271805
2004,"641","md",493,48,47,1,0,48,35,NA
2004,"641","wt",493,210,151,56,4,206,126,NA
2004,"650","all_deer",1158,806,497,293,7,798,304,0.696027633851468
2004,"650","md",1158,578,396,172,3,576,219,NA
2004,"650","wt",1158,227,101,122,5,223,85,NA
2004,"651","all_deer",1612,1225,792,406,30,1195,595,0.759925558312655
2004,"651","md",1612,565,403,156,0,565,256,NA
2004,"651","wt",1612,652,385,245,28,624,335,NA
2004,"652","all_deer",202,138,107,29,1,137,84,0.683168316831683
2004,"652","md",202,124,100,23,0,124,76,NA
2004,"652","wt",202,13,6,7,1,12,6,NA
2004,"670","all_deer",1363,1102,695,394,15,1087,554,0.808510638297872
2004,"670","md",1363,732,524,206,0,732,395,NA
2004,"670","wt",1363,366,171,184,15,351,160,NA
2004,"680","all_deer",747,517,359,150,3,514,245,0.692101740294511
2004,"680","md",747,458,325,129,3,455,224,NA
2004,"680","wt",747,53,31,17,0,53,22,NA
2004,"690","all_deer",2023,1362,796,551,7,1355,571,0.673257538309441
2004,"690","md",2023,1007,642,354,2,1006,456,NA
2004,"690","wt",2023,350,154,192,5,345,115,NA
2004,"700","all_deer",2694,2414,1297,1056,22,2392,899,0.896065330363771
2004,"700","md",2694,2115,1168,891,15,2101,796,NA
2004,"700","wt",2694,278,120,152,7,271,98,NA
2004,"701","all_deer",3278,2804,1494,1232,58,2746,1030,0.855399633923124
2004,"701","md",3278,1810,1031,737,21,1789,639,NA
2004,"701","wt",3278,968,462,476,35,933,389,NA
2004,"702","all_deer",2626,2389,1408,939,73,2316,920,0.90974866717441
2004,"702","md",2626,2044,1246,778,41,2003,792,NA
2004,"702","wt",2626,332,158,152,33,299,125,NA
2004,"703","all_deer",4236,3833,2107,1601,56,3777,1452,0.904863078375826
2004,"703","md",4236,2340,1356,921,12,2328,838,NA
2004,"703","wt",4236,1487,747,677,44,1443,614,NA
2004,"704","all_deer",5105,4561,2791,1684,73,4488,2022,0.893437806072478
2004,"704","md",5105,4003,2495,1449,54,3949,1781,NA
2004,"704","wt",5105,508,266,220,16,492,219,NA
2004,"705","all_deer",5178,4993,3042,1810,58,4935,2305,0.9642719196601
2004,"705","md",5178,3866,2416,1359,40,3826,1761,NA
2004,"705","wt",5178,1093,609,433,18,1075,533,NA
2005,"100","all_deer",3178,1620,1201,404,24,1586,712,0.509754562617999
2005,"100","md",3178,258,252,6,2,252,143,NA
2005,"100","wt",3178,1357,949,398,23,1333,569,NA
2005,"101","all_deer",2996,1620,1063,521,52,1563,616,0.540720961281709
2005,"101","md",2996,203,194,8,3,200,69,NA
