"license_year","hunting_district","hunters","total_harvest","bulls","cows","bow","rifle","x6_or_more_points","success_rate_per_hunter"
2004,"560",894,157,84,65,13,145,18,0.175615212527964
2004,"570",199,16,7,7,6,10,3,0.0804020100502513
2004,"575",327,47,13,33,9,38,6,0.143730886850153
2004,"580",1139,334,144,161,18,316,45,0.293239683933275
2004,"590",1354,357,120,215,71,286,75,0.263663220088626
2004,"610",102,7,2,6,0,7,2,0.0686274509803922
2004,"611",13,0,0,0,0,0,0,0
2004,"620",454,112,55,54,43,68,23,0.246696035242291
2004,"621",716,222,69,138,69,152,42,0.310055865921788
2004,"622",319,111,73,36,46,64,55,0.347962382445141
2004,"630",28,7,3,4,0,7,3,0.25
2004,"631",294,124,43,75,30,94,24,0.421768707482993
2004,"632",132,31,14,14,12,20,5,0.234848484848485
2004,"640",13,1,1,0,0,1,1,0.0769230769230769
2004,"650",19,0,0,0,0,0,0,0
2004,"651",38,3,3,0,0,3,0,0.0789473684210526
2004,"652",12,0,0,0,0,0,0,0
2004,"670",57,0,0,0,0,0,0,0
2004,"680",26,9,6,3,3,5,3,0.346153846153846
2004,"690",128,47,16,31,8,39,12,0.3671875
2004,"700",774,252,145,97,92,160,112,0.325581395348837
2004,"701",88,13,8,5,5,8,6,0.147727272727273
2004,"702",198,36,14,23,9,27,11,0.181818181818182
2004,"703",18,3,1,2,0,3,1,0.166666666666667
2004,"704",535,86,34,49,18,67,29,0.160747663551402
2004,"705",147,28,9,14,3,24,6,0.19047619047619
2005,"100",1909,176,112,63,20,155,39,0.0921948664222106
2005,"101",1492,88,58,25,13,73,19,0.0589812332439678
2005,"102",1335,76,61,14,3,73,18,0.0569288389513109
2005,"103",2255,141,82,51,14,124,30,0.0625277161862528
2005,"104",1374,87,59,27,10,78,35,0.0633187772925764
2005,"109",293,26,6,20,3,23,0,0.0887372013651877
2005,"110",1179,81,59,15,25,56,34,0.0687022900763359
2005,"120",1067,69,45,21,20,49,19,0.0646672914714152
2005,"121",2808,453,217,212,51,399,85,0.161324786324786
2005,"122",1727,103,56,42,20,80,22,0.0596409959467284
2005,"123",668,111,60,43,14,97,14,0.166167664670659
2005,"124",300,27,15,12,3,24,5,0.09
2005,"130",1387,82,65,14,10,70,21,0.0591204037490988
2005,"132",479,56,24,32,0,53,6,0.116910229645094
2005,"140",794,75,68,7,34,41,35,0.0944584382871537
2005,"141",357,40,26,11,4,36,11,0.112044817927171
2005,"150",756,208,185,23,16,189,99,0.275132275132275
2005,"151",80,21,21,0,0,21,13,0.2625
2005,"170",200,19,11,7,0,19,8,0.095
2005,"200",736,97,42,50,14,83,11,0.13179347826087
2005,"201",1565,160,65,89,18,136,13,0.10223642172524
2005,"202",1525,142,74,60,11,131,26,0.0931147540983607
2005,"203",1274,156,78,68,16,138,34,0.122448979591837
2005,"204",1994,324,105,195,22,299,41,0.162487462387161
2005,"210",1442,384,185,177,28,351,57,0.26629680998613
2005,"211",480,113,58,50,10,104,15,0.235416666666667
2005,"212",1614,363,234,123,30,330,48,0.224907063197026
2005,"213",660,188,66,117,10,177,15,0.284848484848485
2005,"214",667,141,90,45,16,123,18,0.211394302848576
2005,"215",1621,363,224,135,26,327,61,0.223935842072795
2005,"216",507,122,55,63,11,109,25,0.240631163708087
2005,"240",2041,365,131,217,25,341,47,0.178833904948555
2005,"250",2163,357,127,209,33,325,42,0.16504854368932
2005,"260",140,33,12,18,18,14,6,0.235714285714286
2005,"261",1078,183,76,100,20,160,37,0.169758812615955
2005,"270",4218,952,424,470,35,906,142,0.22569938359412
2005,"280",355,69,61,8,12,57,35,0.194366197183099
2005,"281",1513,243,114,119,14,229,44,0.160608063450099
2005,"282",244,98,5,80,3,95,5,0.401639344262295
2005,"283",1438,186,88,93,18,166,24,0.129346314325452
2005,"284",123,21,11,10,13,8,5,0.170731707317073
2005,"285",1694,164,103,53,14,150,23,0.0968122786304604
2005,"290",138,18,7,8,11,5,7,0.130434782608696
2005,"291",786,174,103,68,16,153,45,0.221374045801527
2005,"292",2115,363,163,182,22,340,63,0.171631205673759
2005,"293",1341,228,122,94,16,212,52,0.170022371364653
2005,"300",914,219,166,45,21,198,34,0.239606126914661
2005,"301",1029,115,81,32,37,78,50,0.11175898931001
2005,"302",551,147,49,85,4,141,19,0.266787658802178
2005,"309",121,37,8,29,3,35,8,0.305785123966942
2005,"310",1034,163,134,29,29,134,68,0.157640232108317
2005,"311",837,187,113,68,23,162,79,0.223416965352449
2005,"312",1148,306,173,125,20,283,89,0.266550522648084
2005,"313",1469,426,297,128,16,407,244,0.28999319264806
2005,"314",1876,650,268,345,27,612,102,0.346481876332623
2005,"315",1322,367,177,173,30,337,68,0.277609682299546
2005,"316",152,32,21,11,3,29,19,0.210526315789474
2005,"317",717,144,55,84,2,142,15,0.200836820083682
2005,"318",888,173,87,82,14,159,26,0.19481981981982
2005,"319",2080,546,169,342,16,521,53,0.2625
2005,"320",1215,292,125,140,15,274,41,0.240329218106996
2005,"321",1721,399,180,189,76,324,64,0.231841952353283
2005,"322",736,134,64,57,8,126,18,0.182065217391304
2005,"323",931,249,120,118,17,226,35,0.267454350161117
2005,"324",1602,366,172,176,21,342,48,0.228464419475655
2005,"325",1186,251,136,100,6,242,30,0.211635750421585
2005,"326",791,139,70,58,11,128,16,0.175726927939317
2005,"327",1313,248,103,123,25,223,46,0.188880426504189
2005,"328",755,233,139,91,14,219,30,0.308609271523179
2005,"329",1675,510,217,232,19,484,37,0.304477611940298
2005,"330",1357,270,121,133,24,246,45,0.198968312453943
2005,"331",2064,448,206,229,13,435,48,0.217054263565891
2005,"332",1532,476,214,220,40,428,43,0.310704960835509
2005,"333",903,194,64,122,12,179,27,0.21483942414175
2005,"335",793,169,61,104,20,147,14,0.213114754098361
2005,"339",831,198,81,97,14,182,33,0.23826714801444
2005,"340",1579,358,210,136,13,341,69,0.226725775807473
2005,"341",819,223,103,102,7,215,36,0.272283272283272
2005,"343",1042,159,55,93,7,152,16,0.152591170825336
2005,"350",819,125,66,50,3,122,12,0.152625152625153
2005,"360",1811,510,238,246,33,471,130,0.281612368856985
2005,"361",508,78,27,43,12,63,17,0.153543307086614
2005,"362",1048,353,115,190,33,315,67,0.336832061068702
2005,"370",520,95,35,56,6,87,9,0.182692307692308
2005,"380",2642,552,299,236,28,514,75,0.20893262679788
2005,"390",550,230,81,128,12,210,44,0.418181818181818
2005,"391",1011,294,173,109,39,245,84,0.29080118694362
2005,"392",1649,310,139,155,39,268,44,0.187992722862341
2005,"393",1747,498,227,262,38,458,116,0.285060103033772
2005,"400",54,26,10,14,0,26,4,0.481481481481481
2005,"401",264,71,29,37,15,56,12,0.268939393939394
2005,"403",8,0,0,0,0,0,0,0
2005,"404",144,18,10,8,0,18,2,0.125
2005,"405",49,4,4,0,0,4,4,0.0816326530612245
2005,"406",29,5,3,3,0,5,3,0.172413793103448
2005,"410",2502,765,202,498,158,590,128,0.305755395683453
2005,"411",896,239,100,129,28,209,80,0.266741071428571
2005,"412",331,83,36,40,11,71,30,0.250755287009063
2005,"413",845,119,50,65,14,102,19,0.140828402366864
2005,"415",136,21,18,0,0,21,6,0.154411764705882
2005,"416",1360,240,120,100,24,213,54,0.176470588235294
2005,"417",776,221,94,116,32,183,73,0.28479381443299
2005,"418",622,95,34,52,6,86,10,0.152733118971061
2005,"419",103,11,11,0,0,11,0,0.106796116504854
2005,"420",161,48,26,21,3,46,10,0.298136645962733
2005,"421",446,163,59,90,3,154,25,0.365470852017937
2005,"422",455,80,32,44,1,78,14,0.175824175824176
2005,"423",385,117,63,50,1,111,23,0.303896103896104
2005,"424",311,46,30,16,0,46,14,0.147909967845659
2005,"425",456,65,32,32,7,58,18,0.142543859649123
2005,"426",112,20,12,8,3,18,10,0.178571428571429
2005,"432",867,123,76,38,9,114,15,0.141868512110727
2005,"441",352,49,20,25,3,46,10,0.139204545454545
2005,"442",593,121,69,37,8,113,42,0.204047217537943
2005,"444",188,38,23,13,0,38,6,0.202127659574468
2005,"445",469,155,97,53,15,140,74,0.330490405117271
2005,"446",982,303,139,153,20,283,62,0.308553971486762
2005,"447",550,110,47,53,12,98,37,0.2
2005,"448",776,90,57,28,8,81,25,0.115979381443299
2005,"449",573,105,51,49,3,98,9,0.183246073298429
2005,"450",182,44,21,16,7,38,11,0.241758241758242
2005,"452",388,59,40,19,7,52,11,0.152061855670103
2005,"454",747,109,84,23,6,103,34,0.145917001338688
2005,"455",120,50,49,1,0,50,34,0.416666666666667
2005,"471",15,4,3,1,0,4,0,0.266666666666667
2005,"500",218,28,12,15,5,22,7,0.128440366972477
2005,"502",198,27,5,19,0,24,5,0.136363636363636
2005,"510",54,6,0,6,0,3,0,0.111111111111111
2005,"511",165,18,8,8,4,12,6,0.109090909090909
2005,"520",1067,171,94,76,13,156,13,0.160262417994377
2005,"530",252,62,19,43,15,47,15,0.246031746031746
2005,"540",762,147,77,67,1,145,11,0.192913385826772
2005,"560",825,128,77,49,8,120,31,0.155151515151515
2005,"570",210,45,16,27,4,39,15,0.214285714285714
2005,"575",253,28,7,21,2,27,0,0.110671936758893
2005,"580",955,323,144,162,22,298,47,0.338219895287958
2005,"590",1273,318,142,170,51,266,81,0.24980361351139
2005,"600",27,4,3,1,0,4,0,0.148148148148148
2005,"610",50,3,0,3,0,3,0,0.06
2005,"611",19,0,0,0,0,0,0,0
2005,"620",612,116,69,40,62,55,42,0.189542483660131
2005,"621",666,212,57,137,50,159,31,0.318318318318318
2005,"622",339,75,45,29,22,52,43,0.221238938053097
2005,"630",48,0,0,0,0,0,0,0
2005,"631",223,51,21,26,16,34,13,0.228699551569507
2005,"632",126,20,11,9,8,11,7,0.158730158730159
2005,"640",37,4,0,1,0,4,0,0.108108108108108
2005,"641",5,0,0,0,0,0,0,0
2005,"650",26,0,0,0,0,0,0,0
2005,"651",10,1,1,0,0,1,0,0.1
2005,"652",7,0,0,0,0,0,0,0
2005,"670",30,0,0,0,0,0,0,0
2005,"680",52,4,0,4,0,4,0,0.0769230769230769
2005,"690",115,50,11,35,3,46,11,0.434782608695652
2005,"700",987,263,138,106,77,185,103,0.266464032421479
2005,"701",91,14,7,7,4,10,6,0.153846153846154
2005,"702",150,35,9,27,0,35,9,0.233333333333333
2005,"703",38,8,3,3,0,8,0,0.210526315789474
2005,"704",533,93,44,40,27,66,36,0.174484052532833
2005,"705",209,32,21,11,10,22,16,0.15311004784689
2006,"100",2258,203,92,104,33,170,41,0.0899025686448184
2006,"101",1641,132,73,50,8,121,7,0.0804387568555759
2006,"102",1469,52,34,15,7,45,11,0.0353982300884956
2006,"103",2184,160,92,66,13,147,37,0.0732600732600733
2006,"104",1341,169,102,61,15,151,43,0.126025354213274
2006,"109",317,30,20,6,8,23,0,0.0946372239747634
2006,"110",1123,74,52,18,11,63,30,0.0658949243098842
2006,"120",1093,77,52,24,20,53,26,0.070448307410796
2006,"121",2694,491,294,185,75,416,127,0.182256867112101
2006,"122",1464,102,56,39,7,95,22,0.069672131147541
2006,"123",747,138,74,53,15,123,33,0.184738955823293
2006,"124",400,61,43,19,4,58,13,0.1525
2006,"130",1315,71,52,18,4,67,4,0.0539923954372624
2006,"132",406,26,19,7,4,22,11,0.0640394088669951
2006,"140",730,99,96,4,29,70,33,0.135616438356164
2006,"141",200,34,20,12,11,24,15,0.17
2006,"150",797,252,240,11,4,248,105,0.316185696361355
2006,"151",119,19,19,0,0,19,7,0.159663865546218
2006,"170",194,18,15,4,7,11,7,0.0927835051546392
2006,"200",709,136,68,52,11,123,23,0.191819464033851
2006,"201",1349,191,94,92,22,166,42,0.141586360266864
2006,"202",1180,152,92,47,21,131,30,0.128813559322034
2006,"203",1149,136,54,80,15,121,18,0.118363794604003
2006,"204",1603,233,115,105,7,225,22,0.145352464129757
2006,"210",1300,307,175,119,41,266,50,0.236153846153846
2006,"211",430,155,74,74,15,136,19,0.36046511627907
2006,"212",1603,390,230,144,7,383,41,0.24329382407985
2006,"213",578,153,90,53,0,149,17,0.264705882352941
2006,"214",488,88,40,44,7,80,7,0.180327868852459
2006,"215",1818,375,233,121,39,332,70,0.206270627062706
2006,"216",404,97,58,35,2,95,13,0.24009900990099
2006,"240",2189,298,82,184,22,272,22,0.136135221562357
2006,"250",1938,283,85,183,11,268,15,0.146026831785346
2006,"260",332,39,11,28,13,26,4,0.117469879518072
2006,"261",798,209,96,102,11,198,19,0.261904761904762
2006,"270",3575,618,192,360,48,562,52,0.172867132867133
2006,"280",507,108,94,8,8,100,41,0.21301775147929
2006,"281",1332,209,99,91,4,205,28,0.156906906906907
2006,"282",303,46,11,25,6,40,0,0.151815181518152
2006,"283",1450,246,109,117,18,228,35,0.169655172413793
2006,"284",124,13,6,4,11,2,2,0.104838709677419
2006,"285",1911,207,107,74,15,192,32,0.108320251177394
2006,"290",186,36,15,21,7,29,11,0.193548387096774
2006,"291",773,173,122,45,4,165,26,0.223803363518758
2006,"292",1841,428,213,195,17,407,57,0.232482346550788
2006,"293",1647,288,175,86,37,251,59,0.174863387978142
2006,"300",779,251,175,62,15,236,19,0.322207958921694
2006,"301",916,121,86,33,11,110,41,0.132096069868996
2006,"302",674,191,54,112,13,178,15,0.283382789317507
2006,"309",167,15,11,4,0,15,4,0.0898203592814371
2006,"310",723,93,86,4,11,82,37,0.128630705394191
2006,"311",786,196,115,59,8,188,74,0.249363867684478
2006,"312",1401,313,205,104,11,298,116,0.223411848679515
2006,"313",2044,454,405,45,41,413,303,0.222113502935421
2006,"314",1862,536,278,229,22,503,107,0.287862513426423
2006,"315",1292,339,151,162,25,314,54,0.262383900928793
2006,"316",185,34,15,15,0,30,15,0.183783783783784
2006,"317",794,219,97,115,11,208,41,0.275818639798489
2006,"318",856,143,70,64,7,129,11,0.167056074766355
2006,"319",1574,222,104,107,19,204,41,0.141041931385006
2006,"320",1101,275,141,113,7,267,56,0.249772933696639
2006,"321",1351,316,133,155,53,259,22,0.233900814211695
2006,"322",794,149,52,82,8,141,15,0.187657430730479
2006,"323",884,138,68,52,13,126,35,0.156108597285068
2006,"324",1152,255,148,96,4,252,59,0.221354166666667
2006,"325",1270,245,118,97,18,222,26,0.192913385826772
2006,"326",534,92,48,41,4,89,4,0.172284644194757
2006,"327",832,154,64,79,0,154,15,0.185096153846154
2006,"328",669,211,95,98,7,197,11,0.315396113602392
2006,"329",1282,298,138,124,17,281,22,0.232449297971919
2006,"330",1003,156,89,52,4,152,30,0.155533399800598
2006,"331",1705,237,137,100,19,215,15,0.13900293255132
2006,"332",1149,187,71,100,10,173,8,0.162750217580505
2006,"333",857,104,63,30,11,93,22,0.121353558926488
2006,"335",868,180,89,81,11,169,26,0.207373271889401
2006,"339",835,201,70,114,9,190,22,0.240718562874252
2006,"340",1669,286,139,135,8,278,30,0.171360095865788
2006,"341",738,115,74,41,4,111,41,0.155826558265583
2006,"343",946,146,52,86,19,128,26,0.154334038054968
2006,"350",825,109,43,61,6,103,15,0.132121212121212
2006,"360",2077,602,328,222,33,565,119,0.289841116995667
2006,"361",500,93,46,43,15,75,15,0.186
2006,"362",725,151,62,70,15,136,29,0.208275862068966
2006,"370",563,123,50,73,11,112,13,0.218472468916519
2006,"380",3177,737,357,330,51,670,66,0.231979855209317
2006,"388",116,11,0,11,0,11,0,0.0948275862068965
2006,"390",706,291,145,131,26,265,93,0.412181303116147
2006,"391",1012,347,185,134,28,316,84,0.342885375494071
2006,"392",1860,353,172,163,37,313,63,0.189784946236559
2006,"393",1546,447,219,206,48,399,119,0.289133247089263
2006,"400",103,29,18,11,0,29,7,0.281553398058252
2006,"401",226,51,28,23,4,43,6,0.225663716814159
2006,"403",29,4,0,4,0,4,0,0.137931034482759
2006,"404",180,35,30,4,0,35,15,0.194444444444444
2006,"405",41,4,0,0,0,4,0,0.0975609756097561
2006,"406",65,9,0,6,0,9,0,0.138461538461538
2006,"410",2240,759,209,492,176,580,120,0.338839285714286
2006,"411",901,207,110,83,43,162,80,0.229744728079911
2006,"412",269,71,45,21,8,64,32,0.263940520446097
2006,"413",876,97,47,42,7,90,11,0.110730593607306
2006,"415",175,37,30,7,8,30,19,0.211428571428571
2006,"416",1302,409,203,191,26,379,82,0.314132104454685
2006,"417",588,154,78,69,28,121,60,0.261904761904762
2006,"418",493,68,33,35,0,68,7,0.137931034482759
2006,"419",136,22,15,7,4,19,8,0.161764705882353
2006,"420",264,80,51,28,8,73,17,0.303030303030303
2006,"421",296,125,45,69,15,110,8,0.422297297297297
2006,"422",342,121,71,40,4,117,22,0.353801169590643
2006,"423",439,122,67,55,4,115,19,0.277904328018223
2006,"424",355,72,41,28,7,61,26,0.202816901408451
2006,"425",475,101,28,64,0,101,24,0.212631578947368
2006,"426",68,18,7,11,0,18,7,0.264705882352941
2006,"432",688,122,63,48,7,115,22,0.177325581395349
2006,"441",440,128,32,91,4,124,8,0.290909090909091
2006,"442",693,136,87,42,8,121,34,0.196248196248196
2006,"444",203,41,19,18,0,37,11,0.201970443349754
2006,"445",682,279,130,131,14,258,76,0.409090909090909
2006,"446",1135,412,182,200,37,367,71,0.362995594713656
2006,"447",615,148,63,71,15,131,46,0.240650406504065
2006,"448",624,70,35,34,0,70,11,0.112179487179487
2006,"449",494,111,50,55,4,104,13,0.224696356275304
2006,"450",133,37,19,18,4,33,19,0.278195488721804
2006,"452",612,176,78,86,11,165,11,0.287581699346405
2006,"454",707,244,127,96,19,214,41,0.345120226308345
2006,"455",145,66,45,21,4,62,28,0.455172413793103
2006,"471",43,4,4,0,0,4,4,0.0930232558139535
2006,"500",256,31,9,11,0,31,5,0.12109375
2006,"502",173,23,12,11,0,23,9,0.132947976878613
2006,"510",27,4,0,4,0,4,0,0.148148148148148
2006,"511",202,13,6,4,2,11,0,0.0643564356435644
2006,"520",866,136,78,56,15,118,37,0.157043879907621
2006,"530",428,76,36,29,29,47,18,0.177570093457944
2006,"540",664,147,92,54,4,144,28,0.221385542168675
2006,"560",729,160,97,55,8,153,38,0.219478737997257
2006,"570",175,25,7,18,0,25,3,0.142857142857143
2006,"575",444,70,26,40,8,59,4,0.157657657657658
2006,"580",1000,363,190,155,22,337,65,0.363
2006,"590",1304,416,198,202,95,317,126,0.319018404907975
2006,"610",77,4,4,0,0,4,4,0.051948051948052
2006,"620",619,166,99,62,80,87,56,0.268174474959612
2006,"621",864,371,96,246,48,316,62,0.429398148148148
2006,"622",525,211,61,129,27,184,49,0.401904761904762
2006,"630",50,9,0,9,2,6,0,0.18
2006,"631",272,144,55,77,30,114,39,0.529411764705882
2006,"632",127,37,19,19,10,27,12,0.291338582677165
2006,"640",8,4,0,4,0,4,0,0.5
2006,"650",11,4,4,0,0,4,4,0.363636363636364
2006,"652",2,4,0,0,0,4,0,2
2006,"680",49,6,2,2,2,4,2,0.122448979591837
2006,"690",149,73,26,30,14,59,20,0.48993288590604
2006,"700",953,404,197,179,80,318,157,0.42392444910808
2006,"701",128,21,12,10,3,18,10,0.1640625
2006,"702",180,37,15,22,0,37,13,0.205555555555556
2006,"703",74,20,20,0,0,20,4,0.27027027027027
2006,"704",458,109,44,48,17,93,33,0.237991266375546
2006,"705",206,56,31,25,11,44,22,0.271844660194175
2007,"100",2189,132,96,33,14,117,19,0.0603015075376884
2007,"101",1383,72,36,29,3,69,16,0.052060737527115
2007,"102",1654,90,66,24,10,80,32,0.0544135429262394
2007,"103",2227,146,51,93,18,129,23,0.0655590480466996
2007,"104",1576,131,85,41,17,114,34,0.0831218274111675
2007,"109",353,38,25,14,7,31,3,0.107648725212465
2007,"110",1264,80,80,0,10,71,34,0.0632911392405063
2007,"120",1254,47,32,12,5,43,23,0.0374800637958533
2007,"121",2967,397,213,174,47,351,83,0.133805190428042
2007,"122",1596,127,77,50,21,106,41,0.0795739348370927
2007,"123",623,81,26,49,11,70,8,0.130016051364366
2007,"124",383,38,20,19,0,38,10,0.0992167101827676
2007,"130",1310,75,55,21,5,71,5,0.0572519083969466
2007,"132",436,14,10,0,5,10,0,0.0321100917431193
2007,"140",686,95,91,4,22,73,46,0.138483965014577
2007,"141",292,76,72,4,22,54,27,0.26027397260274
2007,"150",545,156,132,24,10,146,84,0.286238532110092
2007,"151",66,20,13,3,0,20,8,0.303030303030303
2007,"170",203,14,14,0,14,0,10,0.0689655172413793
